傌	㐷 骂
積	积
稱	称
稭	秸
迻	移
穢	秽
穠	秾
稅	税
粺	稗
稺	稚
穉	稚
穌	稣
穩	稳
稾	稿
穡	穑
穭	穞
窮	穷
竊	窃
竅	窍
窵	窎
窯	窑
窰	窑
牎	窗
牕	窗
窓	窗
窻	窗
𥦗	窗
竄	窜
窩	窝
窺	窥
闚	窥
竇	窦
窶	窭
竪	竖
豎	竖
競	竞
篤	笃
筍	笋
咲	笑
筆	笔
筧	笕
椾	笺
牋	笺
箋	笺
籠	笼
籩	笾
栰	筏
築	筑
筩	筒
筞	策
筴	策
篳	筚
篩	筛
簹	筜
箏	筝
䈰	筲
籌	筹
篔	筼
簽	签
籤	签
篠	筿
簡	简
籙	箓
筦	管
簀	箦
篋	箧
籜	箨
籮	箩
簞	箪
簫	箫
篛	箬
筯	箸
簣	篑
簍	篓
簒	篡
籃	篮
籛	篯
籬	篱
籪	簖
簮	簪
籟	籁
糴	籴
類	类
秈	籼
觕	粗
麤	粗
糶	粜
糲	粝
粵	粤
糞	粪
糧	粮
秔	粳
稉	粳
糉	粽
糝	糁
餱	糇
䊀	糊
餬	糊
餈	糍
餻	糕
醣	糖
餹	糖
蹧	糟
穅	糠
粇	糠
稬	糯
穤	糯
係	系
繫	系
緊	紧
𦂳	紧
𦃂	紧
纍	累
縶	絷
緐	繁
𥲻	纂
糹	纟
糺	纠 𫄙
糾	纠
紆	纡
紅	红
紂	纣
縴	纤
纖	纤
紇	纥
約	约
級	级
紈	纨
纊	纩
紀	纪
紉	纫
緯	纬
紜	纭
紘	纮
純	纯
紕	纰
紗	纱
綱	纲
納	纳
紝	纴
縱	纵
綸	纶
紛	纷
帋	纸
紙	纸
紋	纹
紡	纺
紵	纻
紖	纼
紐	纽
紓	纾
綫	线
線	线 缐
紺	绀
紲	绁
絏	绁
紱	绂
練	练
組	组
紳	绅
細	细
織	织
終	终
縐	绉
絆	绊
紼	绋
絀	绌
紹	绍
繹	绎
經	经
紿	绐
綁	绑
毧	绒
絨	绒
羢	绒
結	结
絝	绔
繞	绕
遶	绕
絰	绖
絎	绗
繪	绘
給	给
絢	绚
絳	绛
絡	络
絕	绝
絶	绝
絞	绞
統	统
綆	绠
綃	绡
絹	绢
綉	绣
繡	绣
綌	绤
綏	绥
絛	绦
縚	绦
縧	绦
繼	继
綈	绨
勣	绩 𪟝
績	绩
緒	绪
綾	绫
緓	绬
續	续
綺	绮
緋	绯
綽	绰
緔	绱
鞝	绱
緄	绲
繩	绳
維	维
綿	绵
緜	绵
綬	绶
綳	绷
繃	绷
紬	绸 䌷
綢	绸
綯	绹
綹	绺
綣	绻
綜	综
綻	绽
綰	绾
綠	绿
緑	绿
菉	绿
綴	缀
緇	缁
緙	缂
緗	缃
椷	缄
緘	缄
緬	缅
纜	缆
緹	缇
緲	缈
緝	缉
緼	缊
縕	缊
繢	缋
緦	缌
綞	缍
緞	缎
緶	缏
緱	缑
縋	缒
緩	缓
締	缔
縷	缕
編	编
緡	缗
緣	缘
縉	缙
縛	缚
縟	缛
縝	缜
縫	缝
縗	缞
縞	缟
纏	缠
縭	缡
縊	缢
縑	缣
繽	缤
縹	缥
縵	缦
縲	缧
纓	缨
縮	缩
繆	缪
繅	缫
纈	缬
繚	缭
繕	缮
繒	缯
繮	缰
韁	缰
繾	缱
繰	缲
繯	缳
繳	缴
纘	缵
甖	罂
罌	罂
鑵	罐
網	网
㒺	罔
羅	罗
罰	罚
罸	罚
罷	罢
辠	罪
寘	置
羆	罴
羈	羁
覊	羁
羗	羌
𦍑	羌
羥	羟
羨	羡
羣	群
翄	翅
翹	翘
翽	翙
翬	翚
翺	翱
瞖	翳
繙	翻
飜	翻
燿	耀
攷	考
畊	耕
耮	耢
耬	耧
聳	耸
恥	耻
躭	耽
聶	聂
聾	聋
職	职
聹	聍
聯	联
聵	聩
聰	聪
肅	肃
疘	肛
腸	肠
膓	肠
膚	肤
骯	肮
肎	肯
餚	肴
腎	肾
腫	肿
脹	胀
脅	胁
脇	胁
冑	胄
膽	胆
揹	背
肧	胚
勝	胜
衚	胡
鬍	胡
朧	胧
腖	胨
臚	胪
脛	胫
踁	胫
臙	胭
肐	胳
膠	胶
胷	胸
脃	脆
䘑	脉
脈	脉
衇	脉
膾	脍
臟	脏
髒	脏
臍	脐
腦	脑
膿	脓
臠	脔
𩓐	脖
腳	脚
脫	脱
腡	脶
臉	脸
臈	腊
臘	腊
醃	腌
膕	腘
齶	腭
顋	腮
膩	腻
靦	腼
膃	腽
騰	腾
骽	腿
髈	膀
臏	膑
臕	膘
厀	膝
饍	膳
羴	膻
羶	膻
臋	臀
臢	臜
緻	致
輿	舆
捨	舍
艤	舣
艦	舰
艙	舱
舩	船
艫	舻
艱	艰
艷	艳
豓	艳
豔	艳
藝	艺
節	节
羋	芈
薌	芗
蕪	芜
蘆	芦
芲	花
蘤	花
蕓	芸
蓯	苁
葦	苇
藶	苈
莧	苋
萇	苌
蒼	苍
苧	苎
囌	苏
甦	苏
蘇	苏
蘓	苏
薹	苔
薴	苧
範	范
莖	茎
蘢	茏
蔦	茑
塋	茔
煢	茕
繭	茧
蠒	茧
荊	荆
艸	草
薦	荐
茘	荔
薘	荙
莢	荚
蕘	荛
蓽	荜
萴	荝
荍	荞
蕎	荞
薈	荟
薺	荠
盪	荡
蕩	荡
榮	荣
葷	荤
